c |  Solving Time         :    173.425ms
c |  Solving Time         :    174.326ms
c |  Solving Time         :    176.594ms
c |  Solving Time         :    176.852ms
c |  Solving Time         :    176.884ms
c |  Solving Time         :    177.919ms
c |  Solving Time         :    181.709ms
c |  Solving Time         :    192.172ms
c |  Solving Time         :    193.455ms
c |  Solving Time         :    198.736ms
c |  Solving Time         :    201.971ms
c |  Solving Time         :    207.085ms
c |  Solving Time         :    209.626ms
c |  Solving Time         :    210.932ms
c |  Solving Time         :    214.388ms
c |  Solving Time         :    216.586ms
c |  Solving Time         :    217.220ms
c |  Solving Time         :    217.515ms
c |  Solving Time         :    223.046ms
c |  Solving Time         :    223.364ms
c |  Solving Time         :    225.821ms
c |  Solving Time         :    232.803ms
c |  Solving Time         :    237.954ms
c |  Solving Time         :    242.699ms
c |  Solving Time         :    246.678ms
c |  Solving Time         :    248.260ms
c |  Solving Time         :    248.968ms
c |  Solving Time         :    255.959ms
c |  Solving Time         :    260.571ms
c |  Solving Time         :    262.748ms
c |  Solving Time         :    262.860ms
c |  Solving Time         :    280.845ms
c |  Solving Time         :    281.095ms
c |  Solving Time         :    289.695ms
c |  Solving Time         :    301.232ms
c |  Solving Time         :    303.677ms
c |  Solving Time         :    304.709ms
c |  Solving Time         :    310.672ms
c |  Solving Time         :    357.976ms
c |  Solving Time         :    372.498ms
c |  Solving Time         :    374.384ms
c |  Solving Time         :    376.558ms
c |  Solving Time         :    378.269ms
c |  Solving Time         :    380.662ms
c |  Solving Time         :    386.920ms
c |  Solving Time         :    389.352ms
c |  Solving Time         :    389.411ms
c |  Solving Time         :    397.206ms
c |  Solving Time         :    403.984ms
c |  Solving Time         :    412.504ms
c |  Solving Time         :    413.968ms
c |  Solving Time         :    423.251ms
c |  Solving Time         :    423.670ms
c |  Solving Time         :    438.011ms
c |  Solving Time         :    447.036ms
c |  Solving Time         :    449.679ms
c |  Solving Time         :    450.152ms
c |  Solving Time         :    457.157ms
c |  Solving Time         :    461.353ms
c |  Solving Time         :    478.926ms
c |  Solving Time         :    480.710ms
c |  Solving Time         :    487.449ms
c |  Solving Time         :    493.538ms
c |  Solving Time         :    522.032ms
c |  Solving Time         :    522.654ms
c |  Solving Time         :    536.015ms
c |  Solving Time         :    542.164ms
c |  Solving Time         :    555.491ms
c |  Solving Time         :    576.421ms
c |  Solving Time         :    582.653ms
c |  Solving Time         :    589.700ms
c |  Solving Time         :    590.153ms
c |  Solving Time         :    602.491ms
c |  Solving Time         :    608.125ms
c |  Solving Time         :    616.668ms
c |  Solving Time         :    619.710ms
c |  Solving Time         :    621.262ms
c |  Solving Time         :    623.160ms
c |  Solving Time         :    624.535ms
c |  Solving Time         :    626.392ms
c |  Solving Time         :    648.460ms
c |  Solving Time         :    649.542ms
c |  Solving Time         :    659.526ms
c |  Solving Time         :    675.659ms
c |  Solving Time         :    677.620ms
c |  Solving Time         :    684.792ms
c |  Solving Time         :    692.191ms
